,text,label,problem
0,long term uptrend broke 4 year resistance looks primed for further upside,0.53,sentiment_ranking_microblogs
1,confirmation is a hold  bottom looks like,0.259,sentiment_ranking_microblogs
2,Bullshit! All #AppleStores are EMPTY in #China,-0.329,sentiment_ranking_microblogs
3,LOOKS like we are bouncing Nice volume from 5.77 bottom,0.391,sentiment_ranking_microblogs
4,afternoon selloff as usual will be brutal get ready to lose a ton of money.,-0.569,sentiment_ranking_microblogs
5,brand name is to big for it to fail  I bet they recover or get bought out before the year is over,0.226,sentiment_ranking_microblogs
6,patience pays off,0.272,sentiment_ranking_microblogs
7,starting to creep up,-0.014,sentiment_ranking_microblogs
8,Analysts impressed with progress,0.474,sentiment_ranking_microblogs
9,Short Setups Looking Nice....Really Nice,-0.464,sentiment_ranking_microblogs
10,In Play Longs,0.273,sentiment_ranking_microblogs
11,$AAPL a new long IF 110.61 is broke,0.172,sentiment_ranking_microblogs
12,breakout very likely,0.518,sentiment_ranking_microblogs
13,Down day for all biotechs Good to load up,0.281,sentiment_ranking_microblogs
14,held up well after the big gains! still very undervalued and has major upside,0.695,sentiment_ranking_microblogs
15,down 12% since I alerted it a short sell on 3-25,-0.391,sentiment_ranking_microblogs
16,consistent gains but small one of my favorite trade,0.219,sentiment_ranking_microblogs
17,no more buys,0.146,sentiment_ranking_microblogs
18,Ross Stores Upgraded to Outperform at RBC Capital Markets,0.565,sentiment_ranking_microblogs
19,#oversold,0.406,sentiment_ranking_microblogs
20,Nice day rally!,0.529,sentiment_ranking_microblogs
21,Notable gainers among liquid option names this morning,0.513,sentiment_ranking_microblogs
22,Still the top dog,0.473,sentiment_ranking_microblogs
23,$TSLA hype the news sell on news,-0.073,sentiment_ranking_microblogs
24,is just humming easing overbought,-0.404,sentiment_ranking_microblogs
25,picked some up like this going into 2014,0.653,sentiment_ranking_microblogs
26,Sector Stocks Leading Today,0.454,sentiment_ranking_microblogs
27,lots of green on the 5 min,0.318,sentiment_ranking_microblogs
28,Bricks and Mortar retailers selling cheaper +consumer -retailers,-0.352,sentiment_ranking_microblogs
29,Bullish MA Crossovers,0.457,sentiment_ranking_microblogs
30,bullish $NFLX day trade setup,0.422,sentiment_ranking_microblogs
31,all higher,0.295,sentiment_ranking_microblogs
32,has been a bull and $gld a bear,0.0,sentiment_ranking_microblogs
33,up 10% in premarket ready for lift off,0.507,sentiment_ranking_microblogs
34,"Yahoo, Facebook in Ad Partnership Talks",0.249,sentiment_ranking_microblogs
35,Pivotal sees 27% upside for Alphabet,0.372,sentiment_ranking_microblogs
36,Stock Receives Ratings Downgrade Today at Jefferies,-0.501,sentiment_ranking_microblogs
37,Good time to buy,0.533,sentiment_ranking_microblogs
38,Bottom Losses,-0.473,sentiment_ranking_microblogs
39,Top #NetPayoutYields,0.426,sentiment_ranking_microblogs
40,The Best Stocks for 2012,0.463,sentiment_ranking_microblogs
41,out $NFLX -.35,-0.494,sentiment_ranking_microblogs
42,Equities recently tagged #undervalued,0.353,sentiment_ranking_microblogs
43,joint bid for Yahoo's internet assets,0.228,sentiment_ranking_microblogs
44,Stochastic Overbought,-0.516,sentiment_ranking_microblogs
45,slow-motion disruption of the global auto industry,0.601,sentiment_ranking_microblogs
46,I'm watching(and buy targets),0.344,sentiment_ranking_microblogs
47,Sell Short Position on,0.361,sentiment_ranking_microblogs
48,next 5-6 charts illustrate a bullish weekly outcome,0.119,sentiment_ranking_microblogs
49,alot to worry about,-0.319,sentiment_ranking_microblogs
50,Potential intermediate top in an Uptrend,0.32,sentiment_ranking_microblogs
51,"all on a longer-term, technical swing long basis.",0.591,sentiment_ranking_microblogs
52,looking weak and possibly ready to 'let go',-0.482,sentiment_ranking_microblogs
53,Don't hang your bull hat yet Next week we will pop higher,0.412,sentiment_ranking_microblogs
54,downgrade,-0.463,sentiment_ranking_microblogs
55,$NLSN launching a marketing cloud,-0.245,sentiment_ranking_microblogs
