,text,label,problem
0,"bret owns a small but successful art gallery , balancing aesthetics and business deftly . ",0,subjectivity
1,michael baldwin ) after a series of nightmares he had . ,0,subjectivity
2,what starts as an innocent game of bar trivia soon escalates into an all out war - dex &#38 ; eric vs . herb . ,0,subjectivity
3,son of the bride manages to be affectionate without drawing too deeply from a well of sugar and schmaltz . ,1,subjectivity
4,"dr . david gale , an advocate of eliminating the death penalty , is falsely accused of rape and murder . ",0,subjectivity
5,enough to ensure adrien's family's future and to give werner one last opportunity to face death head on . . . ,0,subjectivity
6,"never really funny and falling just short of exciting , bad company is just ok for an action flick . ",1,subjectivity
7," . . . if you're just in the mood for a fun -- but bad -- movie , you might want to catch freaks as a matinee . ",1,subjectivity
8,"cruise's character has the tables turned on him when he is accused of a future crime and must find out what brought it about and stop it before it can happen in the year 2054 , a so-called "" pre-crime division "" is working around washington , dc . ",0,subjectivity
9,"the story is far-flung , illogical , and plain stupid . ",1,subjectivity
10,"although no pastry is violated , this nasty comedy pokes fun at the same easy targets as other rowdy raunch-fests -- farts , boobs , unmentionables -- without much success . ",1,subjectivity
11,a bigger holiday downer than your end-of-year 401 ( k ) statement . ,1,subjectivity
12,"steven's outlandish plan inevitably backfires , and hilarity ensues as they fall for each other but are unable to express their true feelings . ",0,subjectivity
13,the quality of schwentke's visuals . . . provides ample compensation . ,1,subjectivity
14,clara has gone wild after her mother runs off with another man . ,0,subjectivity
15,"although mother and son are initially at odds , their relationship begins to change when he discovers that his bride-to-be likes his mother's rock-n-roll lifestyle too . ",0,subjectivity
16,"it won't be easy , but if he can handle bird-eating spiders and venomous snakes without getting bitten , gun-wielding agents shouldn't be too much of a problem . ",0,subjectivity
17,"when gene returns , lillian finds herself caught in the middle of a triangle . ",0,subjectivity
18,"one day , tobias sees caroline , a former school pal from the east . ",0,subjectivity
19,a young rebell oversteps the boarder between stage and life on the trail of francois villon . ,0,subjectivity
20,"there's no mistaking the fact that this hybrid misses the impact of the disney classic , and even that of the excellent 1934 mgm version . ",1,subjectivity
21,this is a story about the warm relationship between a little girl and her father despite the difficult conditions they have to live in . ,0,subjectivity
22,ted runs next door to attest his true feelings for the only woman he could ever love - and sure enough - it works ! ,0,subjectivity
23,"the killer is getting closer , revealing more and more of his madness . ",0,subjectivity
24, . . . the movie just might be worth a rental if only for the sight of watching christopher walken belt out a musical number using only his hand and his armpit . ,1,subjectivity
25,lawrence should stick to his day job . he's a better actor than a standup comedian . ,1,subjectivity
26,lovers of the original the silence of the lambs will be ecstatic to see that cinematic lightning can strike twice . ,1,subjectivity
27,"a member of a vigilante group , fields decides to go undercover with a hidden camera and cross with a group of undocumented immigrants . ",0,subjectivity
28,"after being trapped in hell for quite some time , freddy krueger meets up with jason voorhees after jason is sent to hell by creighton duke ( forget part x ; rewind to friday the 13th part ix ) . ",0,subjectivity
29,one of the theives betrays his companions and swipes the gold for himself . ,0,subjectivity
30,"an honest , sensitive story from a vietnamese point of view . ",1,subjectivity
31,"if deuces wild had been tweaked up a notch it would have become a camp adventure , one of those movies that's so bad it starts to become good . but it wasn't . ",1,subjectivity
32,russian ark moves beyond a simple technical exercise and into the realm of greatness . it's a masterpiece on every level . ,1,subjectivity
33,"with this power , jesse start the search of god , fueled by anger about the world we live in . ",0,subjectivity
34,her paranoia seeps insidiously into her newfound fantasy life and overwhelms it - destroying everything in its wake . ,0,subjectivity
35,"this latest installment of the horror film franchise that is apparently as invulnerable as its trademark villain has arrived for an incongruous summer playoff , demonstrating yet again that the era of the intelligent , well-made b movie is long gone . ",1,subjectivity
36,"if not , then catch an episode of the new reality series the jedi hunter , as the now australian boba fett crosses the galaxy capturing and eliminating jedi , along with his companion terri fett . ",0,subjectivity
37,"the film tells the parallel , conflicting trajectory of five women : anita , isabel , adela , leire , and maricarmen . ",0,subjectivity
38,"she becomes part of anita's world , but events do not run smoothly . ",0,subjectivity
39,even accepting this in the right frame of mind can only provide it with so much leniency . ,1,subjectivity
40,it's easy for a filmmaker to blow up the world -- but what shyamalan does is much riskier . he tries to blow our minds . ,1,subjectivity
